# DiskPar00 DiskPar01 DiskPar02 DiskPar03 DiskPar04 DiskPar10 DiskPar11 DiskPar12 DiskPar13 DiskPar14 DiskPar20 DiskPar21 DiskPar22 DiskPar23 DiskPar24 DiskPar30 DiskPar31 DiskPar32 DiskPar33 DiskPar34 SphrPar00 SphrPar01 SphrPar02 SphrPar03 SphrPar04 SphrPar05 SphrPar10 SphrPar11 SphrPar12 SphrPar13 SphrPar14 SphrPar15 Usun Vsun Wsun Sigma_maser vR_maser vPhi_maser vZ_maser Stellar_mass mass(R<60) mass(R<100) r200 m200 concentration94 R0 v0 vesc_R0 Kz likelihood N_chain
6.79343e+08 2.82344 0.3 0 0 2.31801e+08 2.95513 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.04699e+11 0.5 0 1.8 0.075 2.1 1.57622e+07 1 1 3 13.1445 0 0.00840569 0.0120149 0.00728025 0.00756561 -0.00334771 -0.00176854 0.00192219 6.80997e+10 4.71197e+11 6.38877e+11 198.064 8.9539e+11 19.6559 8.22844 233.67 548.871 0.00219013 1603.15 5
1.04339e+09 2.495 0.3 0 0 1.77226e+08 3.35361 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.87907e+10 0.5 0 1.8 0.075 2.1 2.41747e+06 1 1 3 39.3906 0 0.00788179 0.0145743 0.00807994 0.00640047 -0.000351316 -0.00199122 0.00137156 7.41546e+10 6.71722e+11 1.08857e+12 270.618 2.28392e+12 9.28739 7.98727 226.699 671.056 0.00234516 1602.46 29
1.01183e+09 2.69893 0.3 0 0 1.31196e+08 4.00655 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.02221e+11 0.5 0 1.8 0.075 2.1 4.25091e+06 1 1 3 26.4347 0 0.00860146 0.0133949 0.0076508 0.00714147 -0.00108666 -0.000431115 0.000313927 8.06721e+10 5.64701e+11 8.44554e+11 232.369 1.44589e+12 11.69 8.18822 232.313 605.215 0.00248733 1602.89 16
9.52412e+08 2.44075 0.3 0 0 1.19618e+08 3.73193 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.45129e+10 0.5 0 1.8 0.075 2.1 9.20032e+06 1 1 3 18.7836 0 0.00922355 0.0150515 0.00622708 0.00643782 -0.00358163 -0.00361667 0.0001647 6.565e+10 5.80626e+11 8.33743e+11 225.677 1.32446e+12 15.9117 8.20592 231.788 600.891 0.0020952 1604.91 12
9.67337e+08 2.51736 0.3 0 0 1.22727e+08 3.44494 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.42655e+10 0.5 0 1.8 0.075 2.1 7.50483e+06 1 1 3 21.1383 0 0.00909899 0.0125992 0.00575007 0.00769396 -0.00322843 -0.00321661 0.0027615 6.80805e+10 6.07495e+11 8.87892e+11 233.568 1.46838e+12 14.6783 8.03096 233.256 617.665 0.00226936 1600.82 3
1.0138e+09 2.35176 0.3 0 0 8.68704e+07 4.11312 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.87374e+10 0.5 0 1.8 0.075 2.1 9.17309e+06 1 1 3 17.8678 0 0.00844942 0.0148171 0.00806829 0.00727823 -0.000368305 -0.00129776 0.000973706 6.52803e+10 5.26518e+11 7.4794e+11 215.083 1.14666e+12 15.8925 7.9656 228.062 576.948 0.0021388 1603.11 14
9.71432e+08 2.28399 0.3 0 0 7.22624e+07 4.20475 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.58694e+10 0.5 0 1.8 0.075 2.1 1.01514e+07 1 1 3 18.452 0 0.00759917 0.0149087 0.00939931 0.00664269 0.000240319 0.000864338 0.00121173 6.04253e+10 6.07419e+11 8.73974e+11 230.017 1.40235e+12 16.5414 8.03776 230.223 612.399 0.00199858 1601.96 5
8.82553e+08 2.5382 0.3 0 0 1.41321e+08 3.62417 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.91072e+10 0.5 0 1.8 0.075 2.1 1.26997e+07 1 1 3 14.2901 0 0.00801219 0.0143606 0.00815986 0.00574246 0.000154809 -0.000384978 0.000537528 6.82372e+10 4.59761e+11 6.29044e+11 197.651 8.89816e+11 18.0635 8.049 230.226 544.422 0.00222752 1601.53 39
9.00194e+08 2.49965 0.3 0 0 1.33478e+08 3.60254 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.07331e+11 0.5 0 1.8 0.075 2.1 5.59343e+06 1 1 3 24.5582 0 0.00937064 0.0139709 0.00741684 0.00657442 -0.00179438 -0.00124345 0.00139251 6.7816e+10 6.16251e+11 9.22421e+11 240.302 1.5991e+12 13.0538 8.09816 227.871 623.044 0.00214507 1604.07 10
7.95135e+08 2.59736 0.3 0 0 1.15638e+08 3.66741 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.05573e+11 0.5 0 1.8 0.075 2.1 1.09809e+07 1 1 3 17.4587 0 0.00997115 0.0135475 0.00549005 0.00732685 -0.00381798 -0.00167332 0.00236865 6.4909e+10 5.90143e+11 8.3954e+11 225.194 1.316e+12 17.0609 8.25585 233.823 604.08 0.00208177 1602.91 18
9.68582e+08 2.56472 0.3 0 0 1.34979e+08 3.43846 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.23044e+10 0.5 0 1.8 0.075 2.1 1.38769e+07 1 1 3 12.8049 0 0.010286 0.0150625 0.00762913 0.00628917 -0.00422675 -0.00279165 -0.000538699 6.9392e+10 4.03944e+11 5.41455e+11 184.96 7.29146e+11 18.701 8.16885 228.896 514.858 0.00221738 1600.85 6
9.74263e+08 2.4808 0.3 0 0 1.2022e+08 3.78423 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.19139e+10 0.5 0 1.8 0.075 2.1 1.46242e+07 1 1 3 15.1372 0 0.00927033 0.0139916 0.0055353 0.00625898 -0.00323134 -0.00396831 0.000774446 6.77897e+10 5.80001e+11 8.07469e+11 219.487 1.21854e+12 19.0892 8.39289 241.889 599.316 0.00213173 1597.82 1
8.94147e+08 2.6608 0.3 0 0 1.45781e+08 3.53048 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.59412e+10 0.5 0 1.8 0.075 2.1 9.18861e+06 1 1 3 17.6083 0 0.0089758 0.0143352 0.00716936 0.00678431 -0.00341687 -0.00124269 0.000156594 7.17559e+10 5.19429e+11 7.32859e+11 212.816 1.11062e+12 15.9035 8.27828 232.893 573.363 0.00223873 1607.54 10
8.89588e+08 2.49361 0.3 0 0 1.45622e+08 3.42216 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.41164e+10 0.5 0 1.8 0.075 2.1 1.18493e+07 1 1 3 16.1943 0 0.00906829 0.0138753 0.00529394 0.00670949 -0.00161024 -0.00463919 0.000821957 6.58703e+10 5.47207e+11 7.67831e+11 216.02 1.16166e+12 17.5794 8.14809 234.265 585.537 0.00214585 1605.08 13
8.96788e+08 2.57559 0.3 0 0 1.4791e+08 3.46685 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.00398e+11 0.5 0 1.8 0.075 2.1 1.25831e+07 1 1 3 15.1179 0 0.00719622 0.0135717 0.00513559 0.00665943 -0.00152605 -0.00481591 0.00212239 6.95141e+10 5.08993e+11 7.04049e+11 207.514 1.02975e+12 17.9985 8.2283 235.585 567.828 0.00220291 1600.64 3
7.35574e+08 2.67862 0.3 0 0 2.13956e+08 2.73211 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.03032e+11 0.5 0 1.8 0.075 2.1 1.30831e+07 1 1 3 15.3484 0 0.00978414 0.0145646 0.00702198 0.00720994 -0.00215074 -0.00460877 0.00024948 6.43988e+10 5.3684e+11 7.48009e+11 213.093 1.11504e+12 18.275 8.32002 233.964 578.12 0.00203454 1601.33 3
7.92583e+08 2.70126 0.3 0 0 2.2924e+08 2.97575 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 9.78319e+10 0.5 0 1.8 0.075 2.1 9.42107e+06 1 1 3 18.389 0 0.0080259 0.0134974 0.00758577 0.00671025 -9.03997e-05 -0.00243774 0.00120209 6.98265e+10 5.73734e+11 8.18933e+11 223.497 1.28654e+12 16.061 8.10983 235.628 600.764 0.00229819 1603.2 7
8.79735e+08 2.57352 0.3 0 0 1.51042e+08 3.15893 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.12191e+11 0.5 0 1.8 0.075 2.1 6.64629e+06 1 1 3 22.7743 0 0.00730994 0.0141237 0.00862564 0.00649392 -0.00140041 -0.00129371 -0.000561304 6.81083e+10 6.26108e+11 9.26633e+11 239.2 1.57711e+12 13.9856 8.10255 232.359 626.452 0.00219568 1601.33 1
9.35357e+08 2.4167 0.3 0 0 1.54159e+08 3.11733 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.93208e+10 0.5 0 1.8 0.075 2.1 9.80429e+06 1 1 3 18.2768 0 0.00965925 0.0154443 0.00688721 0.00784013 -0.00167468 -0.00128888 -0.000540139 6.37039e+10 5.81263e+11 8.32385e+11 225.166 1.31559e+12 16.3158 8.20118 232.54 600.461 0.00203667 1604.58 9
8.73163e+08 2.64054 0.3 0 0 1.43851e+08 3.51563 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 8.7908e+10 0.5 0 1.8 0.075 2.1 1.07623e+07 1 1 3 16.786 0 0.00846306 0.0145773 0.00617337 0.00674929 -0.00313237 -0.00430353 -0.000645563 6.92631e+10 5.42011e+11 7.62378e+11 215.733 1.1571e+12 16.9263 8.35527 234.582 582.273 0.00216407 1604.07 17
7.74847e+08 2.48039 0.3 0 0 1.2572e+08 3.19419 0.9 0 0 5.31319e+07 7 -0.085 4 0 2.17995e+09 1.5 -0.045 12 0 1.03225e+11 0.5 0 1.8 0.075 2.1 2.03577e+07 1 1 3 12.5828 0 0.0102995 0.0141417 0.00648983 0.00744961 -0.00330204 -0.00414555 0.00170697 5.92328e+10 5.31016e+11 7.23368e+11 208.103 1.03848e+12 21.7119 8.28836 236.672 574.487 0.00193611 1602.83 7
