# R vc minus plus
6.27  231.07 1.00  1.28 
6.78  230.93 0.97  0.97 
7.28  232.87 0.79  1.13 
7.86  234.14 0.62  0.63 
8.19  232.83 0.55  0.56 
8.71  231.27 0.66  0.54 
9.23  230.47 0.46  0.44 
9.72  229.16 0.43  0.54 
10.24 229.37 0.50  0.25 
10.74 227.95 0.34  0.53 
11.23 227.09 0.46  0.44 
11.73 227.15 0.45  0.35 
12.23 226.90 0.41  0.39 
12.73 225.61 0.53  0.64 
13.22 224.95 0.69  0.66 
13.72 222.79 0.53  0.68 
14.22 222.13 0.64  1.04 
14.73 220.08 0.89  0.65 
15.24 218.25 0.79  1.14 
15.72 221.16 1.24  1.06 
16.24 218.30 1.88  2.17 
16.77 217.07 1.35  1.39 
17.21 219.56 1.69  1.80 
17.77 215.49 2.08  1.98 
18.23 214.62 1.59  2.24 
18.73 210.89 1.32  1.42 
19.22 208.48 1.65  2.20 
19.71 205.97 1.55  1.20 
20.22 202.97 2.25  1.55 
20.72 195.16 1.97  2.60 
21.22 200.20 1.45  2.84 
21.72 201.11 3.81  2.72 
22.27 196.79 6.25  4.82 
22.71 218.65 17.54 14.93
23.40 192.49 4.8   4.25 
25.02 191.48 9.61  6.41 
27.31 172.98 17.07 15.82
