# name    	distance
NGC_104_47Tuc  	4.52
NGC_288        	8.99
NGC_362        	8.83
Whiting_1      	30.59
NGC_1261       	16.40
Pal_1          	11.18
AM_1           	118.91
Eridanus       	84.68
Pal_2          	26.17
NGC_1851       	11.95
NGC_1904_M_79  	13.08
NGC_2298       	9.83
NGC_2419       	88.47
Ko_2           	34.70
Pyxis          	36.53
NGC_2808       	10.06
E_3            	7.88
Pal_3          	94.84
NGC_3201       	4.74
ESO_93-8       	13.70
Pal_4          	101.39
Crater         	147.23
Bliss_1        	23.70
Ko_1           	48.30
NGC_4147       	18.54
NGC_4372       	5.71
Rup_106        	20.71
NGC_4590_M_68  	10.40
BH_140         	4.81
NGC_4833       	6.48
NGC_5024_M_53  	18.50
NGC_5053       	17.54
Kim_3          	15.10
NGC_5139_oCen  	5.43
NGC_5272_M_3   	10.18
NGC_5286       	11.10
AM_4           	29.01
NGC_5466       	16.12
NGC_5634       	25.96
NGC_5694       	34.84
IC_4499        	18.89
Munoz_1        	45.00
NGC_5824       	31.71
Pal_5          	21.94
NGC_5897       	12.55
NGC_5904_M_5   	7.48
NGC_5927       	8.27
NGC_5946       	9.64
BH_176         	18.90
NGC_5986       	10.54
FSR_1716       	7.43
Pal_14         	73.58
Lynga_7_BH184  	7.90
NGC_6093_M_80  	10.34
Ryu_059_RLGC1  	28.80
NGC_6121_M_4   	1.85
NGC_6101       	14.45
NGC_6144       	8.15
NGC_6139       	10.04
Terzan_3       	7.64
NGC_6171_M107  	5.63
1636-283_ESO452	7.39
NGC_6205_M_13  	7.42
NGC_6229       	30.11
NGC_6218_M_12  	5.11
FSR_1735       	9.08
NGC_6235       	11.94
NGC_6254_M_10  	5.07
NGC_6256       	7.24
Pal_15         	44.10
NGC_6266_M_62  	6.41
NGC_6273_M_19  	8.34
NGC_6284       	14.21
NGC_6287       	7.93
NGC_6293       	9.19
NGC_6304       	6.15
NGC_6316       	11.15
NGC_6341_M_92  	8.50
NGC_6325       	7.53
NGC_6333_M_9   	8.30
NGC_6342       	8.01
NGC_6356       	15.66
NGC_6355       	8.65
NGC_6352       	5.54
IC_1257        	26.59
Terzan_2_HP_3  	7.75
NGC_6366       	3.44
Terzan_4_HP_4  	7.59
HP_1_BH_229    	7.00
FSR_1758       	11.09
NGC_6362       	7.65
Liller_1       	8.06
NGC_6380_Ton1  	9.61
Terzan_1_HP_2  	5.67
Ton2_Pismis26  	6.99
NGC_6388       	11.17
NGC_6402_M_14  	9.14
NGC_6401       	8.06
NGC_6397       	2.48
VVV_CL002      	8.00
Pal_6          	7.05
NGC_6426       	20.71
Djorg_1        	9.88
Terzan_5_11    	6.62
NGC_6440       	8.25
NGC_6441       	12.73
Terzan_6_HP_5  	7.27
NGC_6453       	10.07
UKS_1          	15.58
VVV_CL001      	8.08
Gran_1         	8.80
Pfleiderer_2   	16.00
NGC_6496       	9.64
Terzan_9       	5.77
Djorg_2_ESO456-	8.76
NGC_6517       	9.23
Terzan_10      	10.21
NGC_6522       	7.29
NGC_6535       	6.36
NGC_6528       	7.83
NGC_6539       	8.16
NGC_6540_Djorg 	5.91
NGC_6544       	2.58
NGC_6541       	7.61
ESO-SC06_ESO280	20.95
NGC_6553       	5.33
NGC_6558       	7.47
IC_1276_Pal_7  	4.55
Terzan_12      	5.17
NGC_6569       	10.53
BH_261_AL_3    	6.12
NGC_6584       	13.61
Mercer_5       	5.50
NGC_6624       	8.02
NGC_6626_M_28  	5.37
NGC_6638       	9.78
NGC_6637_M_69  	8.90
NGC_6642       	8.05
NGC_6652       	9.46
NGC_6656_M_22  	3.30
Pal_8          	11.32
NGC_6681_M_70  	9.36
Ryu_879_RLGC2  	15.80
NGC_6712       	7.38
NGC_6715_M_54  	26.28
NGC_6717_Pal9  	7.52
NGC_6723       	8.27
NGC_6749       	7.59
NGC_6752       	4.12
NGC_6760       	8.41
NGC_6779_M_56  	10.43
Terzan_7       	24.28
Pal_10         	8.94
Arp_2          	28.73
NGC_6809_M_55  	5.35
Terzan_8       	27.54
Pal_11         	14.02
NGC_6838_M_71  	4.00
NGC_6864_M_75  	20.52
NGC_6934       	15.72
NGC_6981_M_72  	16.66
NGC_7006       	39.32
Laevens_3      	61.77
Segue_3        	29.50
NGC_7078_M_15  	10.71
NGC_7089_M_2   	11.69
NGC_7099_M_30  	8.46
Pal_12         	18.49
Pal_13         	23.48
NGC_7492       	24.39
